2025-01-07,"WALMART TORONTO, ON",64.0,
2025-01-07,PAYMENT THANK YOU/PAIEMEN T MERCI,,64.0
2025-01-14,"WALMART TORONTO, ON",80.0,
2025-01-14,PAYMENT THANK YOU/PAIEMEN T MERCI,,80.0
2025-01-21,"WALMART TORONTO, ON",51.0,
2025-01-21,PAYMENT THANK YOU/PAIEMEN T MERCI,,51.0
2025-01-28,"WALMART TORONTO, ON",80.0,
2025-01-28,PAYMENT THANK YOU/PAIEMEN T MERCI,,80.0
2025-02-04,"WALMART TORONTO, ON",74.0,
2025-02-04,PAYMENT THANK YOU/PAIEMEN T MERCI,,74.0
2025-02-11,PAYMENT THANK YOU/PAIEMEN T MERCI,,75.0
2025-02-11,"WALMART TORONTO, ON",75.0,
2025-02-18,"WALMART TORONTO, ON",51.0,
2025-02-18,PAYMENT THANK YOU/PAIEMEN T MERCI,,51.0
2025-02-25,"WALMART TORONTO, ON",90.0,
2025-02-25,PAYMENT THANK YOU/PAIEMEN T MERCI,,90.0
2025-03-04,"WALMART TORONTO, ON",67.0,
2025-03-04,PAYMENT THANK YOU/PAIEMEN T MERCI,,67.0
2025-03-11,"WALMART TORONTO, ON",83.0,
2025-03-11,PAYMENT THANK YOU/PAIEMEN T MERCI,,83.0
2025-03-18,PAYMENT THANK YOU/PAIEMEN T MERCI,,85.0
2025-03-18,"WALMART TORONTO, ON",85.0,
2025-03-25,PAYMENT THANK YOU/PAIEMEN T MERCI,,72.0
2025-03-25,"WALMART TORONTO, ON",72.0,
2025-04-01,"WALMART TORONTO, ON",76.0,
2025-04-01,PAYMENT THANK YOU/PAIEMEN T MERCI,,76.0
2025-04-08,"WALMART TORONTO, ON",68.0,
2025-04-08,PAYMENT THANK YOU/PAIEMEN T MERCI,,68.0
2025-04-15,"WALMART TORONTO, ON",56.0,
2025-04-15,PAYMENT THANK YOU/PAIEMEN T MERCI,,56.0
2025-04-22,"WALMART TORONTO, ON",100.0,
2025-04-22,PAYMENT THANK YOU/PAIEMEN T MERCI,,100.0
2025-04-29,"WALMART TORONTO, ON",84.0,
2025-04-29,PAYMENT THANK YOU/PAIEMEN T MERCI,,84.0
2025-05-06,PAYMENT THANK YOU/PAIEMEN T MERCI,,91.0
2025-05-06,"WALMART TORONTO, ON",91.0,
2025-05-13,"WALMART TORONTO, ON",67.0,
2025-05-13,PAYMENT THANK YOU/PAIEMEN T MERCI,,67.0
2025-05-20,"WALMART TORONTO, ON",63.0,
2025-05-20,PAYMENT THANK YOU/PAIEMEN T MERCI,,63.0
2025-05-27,"WALMART TORONTO, ON",93.0,
2025-05-27,PAYMENT THANK YOU/PAIEMEN T MERCI,,93.0
2025-06-03,"WALMART TORONTO, ON",50.0,
2025-06-03,PAYMENT THANK YOU/PAIEMEN T MERCI,,50.0
2025-06-10,"WALMART TORONTO, ON",57.0,
2025-06-10,PAYMENT THANK YOU/PAIEMEN T MERCI,,57.0
2025-06-17,PAYMENT THANK YOU/PAIEMEN T MERCI,,88.0
2025-06-17,"WALMART TORONTO, ON",88.0,
2025-06-24,"WALMART TORONTO, ON",59.0,
2025-06-24,PAYMENT THANK YOU/PAIEMEN T MERCI,,59.0
2025-07-01,"WALMART TORONTO, ON",68.0,
2025-07-01,PAYMENT THANK YOU/PAIEMEN T MERCI,,68.0
2025-07-08,"WALMART TORONTO, ON",66.0,
2025-07-08,PAYMENT THANK YOU/PAIEMEN T MERCI,,66.0
2025-07-15,"WALMART TORONTO, ON",56.0,
2025-07-15,PAYMENT THANK YOU/PAIEMEN T MERCI,,56.0
2025-07-22,"WALMART TORONTO, ON",63.0,
2025-07-22,PAYMENT THANK YOU/PAIEMEN T MERCI,,63.0
2025-07-29,PAYMENT THANK YOU/PAIEMEN T MERCI,,97.0
2025-07-29,"WALMART TORONTO, ON",97.0,
2025-08-05,"WALMART TORONTO, ON",80.0,
2025-08-05,PAYMENT THANK YOU/PAIEMEN T MERCI,,80.0
2025-08-12,"WALMART TORONTO, ON",81.0,
2025-08-12,PAYMENT THANK YOU/PAIEMEN T MERCI,,81.0
2025-08-19,"WALMART TORONTO, ON",50.0,
2025-08-19,PAYMENT THANK YOU/PAIEMEN T MERCI,,50.0
2025-08-26,"WALMART TORONTO, ON",95.0,
2025-08-26,PAYMENT THANK YOU/PAIEMEN T MERCI,,95.0
2025-09-02,"WALMART TORONTO, ON",86.0,
2025-09-02,PAYMENT THANK YOU/PAIEMEN T MERCI,,86.0
2025-09-09,PAYMENT THANK YOU/PAIEMEN T MERCI,,62.0
2025-09-09,"WALMART TORONTO, ON",62.0,
2025-09-16,"WALMART TORONTO, ON",99.0,
2025-09-16,PAYMENT THANK YOU/PAIEMEN T MERCI,,99.0
2025-09-23,"WALMART TORONTO, ON",54.0,
2025-09-23,PAYMENT THANK YOU/PAIEMEN T MERCI,,54.0
2025-09-30,"WALMART TORONTO, ON",56.0,
2025-09-30,PAYMENT THANK YOU/PAIEMEN T MERCI,,56.0
2025-10-07,"WALMART TORONTO, ON",96.0,
2025-10-07,PAYMENT THANK YOU/PAIEMEN T MERCI,,96.0
2025-10-14,"WALMART TORONTO, ON",92.0,
2025-10-14,PAYMENT THANK YOU/PAIEMEN T MERCI,,92.0
2025-10-21,PAYMENT THANK YOU/PAIEMEN T MERCI,,60.0
2025-10-21,"WALMART TORONTO, ON",60.0,
2025-10-28,"WALMART TORONTO, ON",69.0,
2025-10-28,PAYMENT THANK YOU/PAIEMEN T MERCI,,69.0
2025-11-04,"WALMART TORONTO, ON",63.0,
2025-11-04,PAYMENT THANK YOU/PAIEMEN T MERCI,,63.0
2025-11-11,"WALMART TORONTO, ON",50.0,
2025-11-11,PAYMENT THANK YOU/PAIEMEN T MERCI,,50.0
2025-11-18,"WALMART TORONTO, ON",82.0,
2025-11-18,PAYMENT THANK YOU/PAIEMEN T MERCI,,82.0
